name,price,country,image
Café 2150,9.50,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/Cafe2150_8oz_pic_eb9ec4a6-20cf-4bbf-bc83-13639370ba3c.jpg?v=1659487263
Café Abuelo Domingo - Hacienda La Mocha,20.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/CafeAbueloDomingopic_376ce0f1-3cc1-45aa-987b-8ccf9c64da17.jpg?v=1659487686
Café Alquimia,28.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00005.png?v=1660077640
Café Aromas del Campo - Gourmet,23.95,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/AromasGourmetpic_c4dbb1a6-f779-4726-bfe7-5094971e318a.jpg?v=1659488275
Café Aromas del Campo - Premium,15.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00001.jpg?v=1659993088
Café Baraka 24/7,14.95,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00007.jpg?v=1660077816
Café Don José,19.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/CafeDonJose_10oz_50b5a379-a902-4fd6-967d-5d977045d4b0.png?v=1659488810
Café Don Luis,22.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00023.png?v=1660086095
Café Don Luis - Borbón,24.95,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/DonLuisBorbonpic_bb3e756b-b9d4-4f51-971d-2a59bb37570c.jpg?v=1659489317
Café Don Pello,8.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/DonPello14ozpic_9c2fa531-8c97-4379-9c71-ebbb1a06292d.jpg?v=1678895398
Café Don Pello - Tueste Barista,16.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/pellopic14oz.jpg?v=1664394902
Café Don Pello Specialty - Jayuya,27.95,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/DonPelloSpecialtypic_f3316fc6-99ad-4df1-84d7-82c938135123.jpg?v=1660254544
Café Don Pello Specialty - Yauco,20.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/DonPelloSpecialtypic_9cac8025-ec13-4f78-840a-70a17d961fa4.jpg?v=1663007072
Café Don Pello Specialty Pods,15.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/6_3034760a-9a0e-4191-b714-fb9de994744f.png?v=1659499916
Café Don Tiburcio,25.99,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00002_c3a51c75-f79f-4268-81a8-d1d87138d336.png?v=1680622772
Café Gustos Premium,16.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/Gustospic_a0fb8ab4-d926-4035-a9cc-ef6cd127e227.jpg?v=1659500246
Café Hacienda Masini,15.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00002.png?v=1659993160
Café Hacienda Muñoz - Dark Roast,24.99,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00009.png?v=1660077933
Café Hacienda Prosperidad,25.99,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/HaciendaProsperidad1.png?v=1669421685
Café Hacienda San Pedro,21.95,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/CafeHaciendaSanPedro_10oz_18d33ff9-118b-4ed3-9299-675e39a895b6.png?v=1659490647
Café Idilio,18.95,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00008.png?v=1660077873
Café La Casona,18.50,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/8_d4426826-cb3c-4e5b-a0c6-13dbd4f1e547.png?v=1659491090
Café La Perla Negra,14.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00016.png?v=1660085419
Café Mayor - City Roast,10.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00017.png?v=1659993356
Café Mayor - Espresso Roast,10.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00004.png?v=1659993422
Café Mayor - French Roast,10.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00006.png?v=1659993512
Café Mireia,26.95,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00001_934bd9ed-2622-4cf9-9420-acfcc8855092.png?v=1663707350
Café Nativo,15.99,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00010.png?v=1660078023
Café Otoao,7.95,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00015.png?v=1660085249
Café Papamín - Grano Selecto,17.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00020.png?v=1660078277
Café Papamín - Medium Dark Roast,8.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00013.png?v=1660078139
Café Roig,26.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00014.png?v=1660078713
Café Salomón - Premium,17.99,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/Salomonpic.png?v=1660059296
Café Salomón - Secado al Sol,24.99,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/2_0da4d552-5211-42f9-91e0-37fc13401324.png?v=1659493712
Café Terrafé - Dark Roast,11.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00018.png?v=1660085615
Café Terrafé - Medium Roast,11.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00012.png?v=1660078498
Café Tres Picachos,12.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00021.png?v=1660085883
Café Tres Picachos - Gourmet,18.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/image00022.png?v=1660085960
Café Verde - Juana Díaz,16.95,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/CafeVerdepic_670fa63f-2404-4928-9c97-c5b52422997f.jpg?v=1659494652
Coffee Expo Mug,10.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/7.png?v=1659038928
Coffee Pin,8.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/PinCoffeeExpo.png?v=1660238406
Cuela Gift Card,15.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/CuelaGiftCardnoBack.png?v=1610634587
Dark Chocolate 60% - Cacao 360,6.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/Cacao60_pic_706f3494-cdef-4744-b773-7cafc177d97d.jpg?v=1659495157
Dark Chocolate 80% - Cacao 360,6.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/Cacao80_pic_64565b28-958f-4160-b295-b7caacbfdea3.jpg?v=1659495294
Flowers + Coffee Cup Sticker,5.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/TazaFloresSticker.png?v=1642380812
Hoy Soy Mi Prioridad Sticker,5.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/HoySoyMiPrioridadSticker.png?v=1649961392
Mi Isla Mi Café,25.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/IDF03247copy.jpg?v=1621445724
"No me estreso, me espresso",25.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/IDF03234.jpg?v=1621445583
PopSocket Coffee Expo 1,8.00,products,http://cdn.shopify.com/s/files/1/0068/3422/5234/products/1.png?v=1659038207
